run,attack,epsilon,eps0,eps1,eps2,alpha,malicious_ratio,malicious_count,poison_prob,fixed_offset,scale_k,local_k,clean_edges,protocol_edges,clean_triangles,protocol_triangles,estimate,rel_error_clean,rel_error_protocol,orig_edge_changes,rr_changes,lap_attacked_reports,lap_total_offset,seconds
4,orig_inc,0.5000000000,0.0500000000,0.4295115969,0.0204884031,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1192453,32950647,120258092,119286197.9486060292,2.6201473661,0.0080817352,313351,0,0,0.0000000000,16.4904202700
0,orig_inc,0.5000000000,0.0500000000,0.4279717074,0.0220282926,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1369481,32950647,202413930,200403140.1878922880,5.0819182151,0.0099340486,490379,0,0,0.0000000000,22.4185035670
1,orig_inc,0.5000000000,0.0500000000,0.4278512135,0.0221487865,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1369197,32950647,202533692,205343812.3223132789,5.2318597969,0.0138748289,490095,0,0,0.0000000000,23.7433106880
2,orig_inc,0.5000000000,0.0500000000,0.4277763650,0.0222236350,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1369981,32950647,202389858,201833208.8707380593,5.1253185369,0.0027503806,490879,0,0,0.0000000000,30.8465876040
3,orig_inc,0.5000000000,0.0500000000,0.4274127842,0.0225872158,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1370062,32950647,202152953,200217336.8160881996,5.0762793767,0.0095750082,490960,0,0,0.0000000000,24.4870904010
4,orig_inc,0.5000000000,0.0500000000,0.4278836904,0.0221163096,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1369219,32950647,202565762,202272871.9475225210,5.1386616156,0.0014459011,490117,0,0,0.0000000000,23.1431610780
0,orig_inc,0.5000000000,0.0500000000,0.4259359484,0.0240640516,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1707934,32950647,403707564,407631534.2168271542,11.3709720849,0.0097198333,828832,0,0,0.0000000000,36.8700180030
1,orig_inc,0.5000000000,0.0500000000,0.4251752689,0.0248247311,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1707367,32950647,403888521,403319777.3707901835,11.2401170870,0.0014081698,828265,0,0,0.0000000000,34.4187473630
2,orig_inc,0.5000000000,0.0500000000,0.4251412764,0.0248587236,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1709036,32950647,403645029,400643755.2572457194,11.1589040500,0.0074354285,829934,0,0,0.0000000000,28.0779886600
3,orig_inc,0.5000000000,0.0500000000,0.4246700519,0.0253299481,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1708794,32950647,403537505,411369179.8875942230,11.4844037171,0.0194075514,829692,0,0,0.0000000000,30.3760900970
4,orig_inc,0.5000000000,0.0500000000,0.4253808508,0.0246191492,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1707715,32950647,403689354,400165473.9252291322,11.1443889683,0.0087291875,828613,0,0,0.0000000000,28.9976494740
0,orig_inc,0.5000000000,0.0500000000,0.4245148888,0.0254851112,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1982860,32950647,601415412,601736813.9746481180,17.2617602008,0.0005344093,1103758,0,0,0.0000000000,36.0272733890
1,orig_inc,0.5000000000,0.0500000000,0.4240401232,0.0259598768,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1982116,32950647,601711792,598045336.5031620264,17.1497297004,0.0060933748,1103014,0,0,0.0000000000,35.9358594880
2,orig_inc,0.5000000000,0.0500000000,0.4241163158,0.0258836842,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1984121,32950647,601374000,592728084.9857879877,16.9883595301,0.0143769352,1105019,0,0,0.0000000000,35.5632227820
3,orig_inc,0.5000000000,0.0500000000,0.4232007493,0.0267992507,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1984236,32950647,601223042,597789538.6574869156,17.1419666405,0.0057108645,1105134,0,0,0.0000000000,37.2664729100
4,orig_inc,0.5000000000,0.0500000000,0.4243440559,0.0256559441,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,1981646,32950647,601388556,604963871.2010620832,17.3596962816,0.0059451002,1102544,0,0,0.0000000000,36.4892884960
0,orig_inc,0.5000000000,0.0500000000,0.4229689238,0.0270310762,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,2469037,32950647,1013058068,1013133541.6461132765,29.7469999495,0.0000745008,1589935,0,0,0.0000000000,50.9156619330
1,orig_inc,0.5000000000,0.0500000000,0.4224293920,0.0275706080,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,2469155,32950647,1013301411,1010384883.2144447565,29.6635825152,0.0028782431,1590053,0,0,0.0000000000,47.6671076800
2,orig_inc,0.5000000000,0.0500000000,0.4229630070,0.0270369930,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,2469660,32950647,1013232066,1014844674.8163694143,29.7989301338,0.0015915493,1590558,0,0,0.0000000000,49.6314783120
3,orig_inc,0.5000000000,0.0500000000,0.4214469388,0.0285530612,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,2469730,32950647,1012952769,1016947990.4383291006,29.8627624349,0.0039441340,1590628,0,0,0.0000000000,49.8101928150
4,orig_inc,0.5000000000,0.0500000000,0.4227721148,0.0272278852,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,2467816,32950647,1013030387,1017321446.7737251520,29.8740962438,0.0042358648,1588714,0,0,0.0000000000,46.6843332630
