dataset,node_num,eps,eps_edge,eps_star,budget_mode,q,m,run,seed,attack_type,malicious_ratio,malicious_count,attack_strength,edge_count_before_attack,edge_count_after_attack,dmax_after_attack,added_edges,removed_edges,rr_forced_reports,selected_pair_count,clean_triangles,true_triangles_after_attack,estimate_triangle,raw_counted_three_times,rel_error_clean,signed_rel_clean,rel_error_attack_true,time_sec
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,2531,49995,32950647,-1,61500701.6802031174,184502105.0406093597,0.8664489860,0.8664489860,nan,28.5789416280
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,3863,49995,32950647,-1,73193276.1359747499,219579828.4079242349,1.2213001200,1.2213001200,nan,28.8387031650
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,5067,49995,32950647,-1,80678173.5707153082,242034520.7121459246,1.4484549141,1.4484549141,nan,28.7683141160
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,6385,49995,32950647,-1,85320318.0474068373,255960954.1422204971,1.5893366539,1.5893366539,nan,30.3768173630
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,7606,49995,32950647,-1,91802504.4369001836,275407513.3107005358,1.7860607543,1.7860607543,nan,29.0406890800
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,8801,49995,32950647,-1,107570847.1366451532,322712541.4099354744,2.2646050057,2.2646050057,nan,29.2889260980
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,10030,49995,32950647,-1,117173711.5337547064,351521134.6012641191,2.5560367459,2.5560367459,nan,28.0118710720
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,1273,49995,32950647,-1,30102826.9314674474,90308480.7944023460,0.0864268331,-0.0864268331,nan,28.4326891080
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,2531,49995,32950647,-1,23610571.5083220303,70831714.5249660909,0.2834565128,-0.2834565128,nan,29.2817389710
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,3863,49995,32950647,-1,14507126.2433164325,43521378.7299492955,0.5597316725,-0.5597316725,nan,29.0558746590
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,5067,49995,32950647,-1,8953681.4709219355,26861044.4127658047,0.7282699344,-0.7282699344,nan,30.1484398680
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,6385,49995,32950647,-1,-5240359.4539243570,-15721078.3617730699,1.1590366178,-1.1590366178,nan,28.7268268190
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,7606,49995,32950647,-1,-11306556.6917579789,-33919670.0752739385,1.3431361057,-1.3431361057,nan,28.9849790440
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,8801,49995,32950647,-1,-12087926.0211121887,-36263778.0633365661,1.3668494285,-1.3668494285,nan,28.9381292680
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,10030,49995,32950647,-1,-18082076.4145846181,-54246229.2437538579,1.5487624087,-1.5487624087,nan,28.9362879000
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,clean,0.0000000000,0,0.0000000000,879102,879102,3197,0,0,0,49996,32950647,-1,29940200.6970366538,89820602.0911099613,0.0913622820,-0.0913622820,nan,28.9546068020
