#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),#3st(true),#3st(est),#3st(rel-err),#3st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),sen_tri,sen_2st,sen_3st,eclip_sum,tclip_sum,#eclip,#tclip,max_deg
7.681090e+05,5.951523e+06,6.748279e+00,2.686778e+13,1.486122e+07,1.487595e+07,9.914429e-04,2.170921e+08,1.670481e+09,1.672670e+09,1.310709e-03,4.793972e+12,1.550564e-01,1.000000e+00,5.449265e+00,7.139296e-01,5.460401e+00,1.696176e+02,1.568763e+04,0.000000e+00,0.000000e+00,0,0,1208
7.681090e+05,1.803110e+06,1.347466e+00,1.071227e+12,1.486122e+07,1.485339e+07,5.267006e-04,6.126838e+07,1.670481e+09,1.681420e+09,6.548865e-03,1.196782e+14,1.550564e-01,3.641815e-01,1.348703e+00,4.373330e-02,5.454489e+00,1.696410e+02,1.569920e+04,0.000000e+00,0.000000e+00,0,0,1208
7.681090e+05,-6.772920e+06,9.817654e+00,5.686711e+13,1.486122e+07,1.485980e+07,9.524634e-05,2.003574e+06,1.670481e+09,1.675097e+09,2.763674e-03,2.131358e+13,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,5.460062e+00,1.699563e+02,1.574319e+04,0.000000e+00,0.000000e+00,0,0,1208
7.681090e+05,6.734902e+06,7.768160e+00,3.560262e+13,1.486122e+07,1.486211e+07,6.012506e-05,7.983985e+05,1.670481e+09,1.669172e+09,7.832579e-04,1.711955e+12,1.550564e-01,1.000000e+00,5.449265e+00,7.139296e-01,5.458774e+00,1.698602e+02,1.573652e+04,0.000000e+00,0.000000e+00,0,0,1208
7.681090e+05,3.420636e+06,3.453321e+00,7.035901e+12,1.486122e+07,1.488687e+07,1.726102e-03,6.580241e+08,1.670481e+09,1.667669e+09,1.682865e-03,7.902803e+12,1.550564e-01,6.893262e-01,3.445648e+00,2.854442e-01,5.458295e+00,1.698041e+02,1.572634e+04,0.000000e+00,0.000000e+00,0,0,1208
7.681090e+05,-3.968698e+06,6.166842e+00,2.243734e+13,1.486122e+07,1.483002e+07,2.099295e-03,9.733203e+08,1.670481e+09,1.670018e+09,2.768831e-04,2.139320e+11,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,5.459116e+00,1.696633e+02,1.570279e+04,0.000000e+00,0.000000e+00,0,0,1208
7.681090e+05,-4.471932e+06,6.822002e+00,2.745803e+13,1.486122e+07,1.483526e+07,1.746715e-03,6.738341e+08,1.670481e+09,1.678446e+09,4.768173e-03,6.344346e+13,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,5.458662e+00,1.697769e+02,1.572079e+04,0.000000e+00,0.000000e+00,0,0,1208
7.681090e+05,8.450857e+06,1.000216e+01,5.902462e+13,1.486122e+07,1.486635e+07,3.451522e-04,2.631055e+07,1.670481e+09,1.676705e+09,3.726378e-03,3.874865e+13,1.550564e-01,1.000000e+00,5.449265e+00,7.139296e-01,5.459151e+00,1.698928e+02,1.573725e+04,0.000000e+00,0.000000e+00,0,0,1208
7.681090e+05,6.150896e+06,7.007842e+00,2.897439e+13,1.486122e+07,1.485941e+07,1.213837e-04,3.254087e+06,1.670481e+09,1.666082e+09,2.632914e-03,1.934444e+13,1.550564e-01,1.000000e+00,5.449265e+00,7.139296e-01,5.460207e+00,1.699359e+02,1.574063e+04,0.000000e+00,0.000000e+00,0,0,1208
7.681090e+05,-4.801889e+06,7.251573e+00,3.102488e+13,1.486122e+07,1.488352e+07,1.500847e-03,4.974871e+08,1.670481e+09,1.671296e+09,4.881317e-04,6.649008e+11,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,5.457151e+00,1.697273e+02,1.570265e+04,0.000000e+00,0.000000e+00,0,0,1208
function,AVG(rel-err),AVG(l2-loss)
Triangles,6.638530e+00,2.963639e+13
2-stars,9.213011e-04,3.113393e+08
3-stars,2.498185e-03,2.778158e+13
Clst,3.059141e+00,3.281066e-01
