dataset,node_num,eps,eps_edge,eps_star,budget_mode,q,m,run,seed,attack_type,malicious_ratio,malicious_count,attack_strength,edge_count_before_attack,edge_count_after_attack,dmax_after_attack,added_edges,removed_edges,rr_forced_reports,selected_pair_count,clean_triangles,true_triangles_after_attack,estimate_triangle,raw_counted_three_times,rel_error_clean,signed_rel_clean,rel_error_attack_true,time_sec
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_increase,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,132,49996,32950647,-1,30406729.2964000106,91220187.8892000318,0.0772038772,-0.0772038772,nan,29.2319592600
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_increase,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,299,49996,32950647,-1,25998734.2279607616,77996202.6838822812,0.2109795529,-0.2109795529,nan,28.6703039580
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_increase,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,495,49996,32950647,-1,25013865.3918994628,75041596.1756983846,0.2408687638,-0.2408687638,nan,37.7458376170
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_increase,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,787,49996,32950647,-1,36089344.1871443465,108268032.5614330322,0.0952544934,0.0952544934,nan,33.4945699680
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_increase,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,1127,49996,32950647,-1,38391045.8632464185,115173137.5897392631,0.1651074974,0.1651074974,nan,28.5579116900
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_increase,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,1515,49996,32950647,-1,34975512.8262988329,104926538.4788964987,0.0614514740,0.0614514740,nan,29.4015844510
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_increase,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,1972,49996,32950647,-1,38598002.9638608098,115794008.8915824294,0.1713883179,0.1713883179,nan,29.5802460800
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_decrease,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,31,49996,32950647,-1,30635166.1802107878,91905498.5406323671,0.0702711792,-0.0702711792,nan,28.7070277630
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_decrease,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,132,49996,32950647,-1,28691874.2670689486,86075622.8012068421,0.1292470140,-0.1292470140,nan,30.2225606990
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_decrease,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,299,49996,32950647,-1,22895663.2225047685,68686989.6675143093,0.3051528481,-0.3051528481,nan,27.2797089900
