edge_file,n_header,n_used,attack_type,malicious_ratio,poison_prob,malicious_nodes,added_edges,removed_edges,clean_m_used,poisoned_m_used,clean_exact_triangles,poisoned_exact_triangles,load_seconds,clean_exact_seconds,poisoned_exact_seconds,epsilon,psi,workers,runs,run,noise,seed,split_factor,bias_factor,dmax_slack_multiplier,estimate,abs_error_vs_clean,relative_error_vs_clean,abs_error_vs_poisoned,relative_error_vs_poisoned,max_noisy_out_degree_before_slack,dmax_slack,max_noisy_out_degree,kcore_rounds_cap,kcore_rounds_run,kcore_max_threshold,levels_per_group,kcore_seconds,rr_seconds,maxout_seconds,count_seconds,total_seconds
../data/Gplus/edges.csv,107614,10000,original_decrease,0.08,1,800,0,5296,879102,873806,32950647,32410512,35.65177568,3.68077692,3.26347804,0.50000000,0.50000000,4,5,0,1,15722096187311718082,0.80000000,8,12.00000000,31086208.96799973,1864438.03200027,0.05658274,1324303.03200027,0.04086029,434.00000000,221.04816893,655.04816893,170,70,70,5.75000000,0.49314797,2.84684537,0.04468082,1.69868381,5.08336218
../data/Gplus/edges.csv,107614,10000,original_decrease,0.08000000,1.00000000,800,0,5296,879102,873806,32950647,32410512,35.65177568,3.68077692,3.26347804,0.50000000,0.50000000,4,5,1,1,4460723817787692818,0.80000000,8,12.00000000,30138047.77223317,2812599.22776683,0.08535794,2272464.22776683,0.07011504,448.00000000,221.04816893,669.04816893,170,70,70,5.75000000,0.41897166,1.98794277,0.03622980,1.74338149,4.18652992
../data/Gplus/edges.csv,107614,10000,original_decrease,0.08000000,1.00000000,800,0,5296,879102,873806,32950647,32410512,35.65177568,3.68077692,3.26347804,0.50000000,0.50000000,4,5,2,1,16085610682330738317,0.80000000,8,12.00000000,32316985.89047936,633661.10952064,0.01923061,93526.10952064,0.00288567,432.00000000,221.04816893,653.04816893,170,70,70,5.75000000,0.39159090,2.94677351,0.00791751,1.08093377,4.42722000
../data/Gplus/edges.csv,107614,10000,original_decrease,0.08000000,1.00000000,800,0,5296,879102,873806,32950647,32410512,35.65177568,3.68077692,3.26347804,0.50000000,0.50000000,4,5,3,1,8150873202967846913,0.80000000,8,12.00000000,32343620.50199334,607026.49800666,0.01842229,66891.49800666,0.00206388,451.00000000,221.04816893,672.04816893,170,70,70,5.75000000,1.59024958,2.83623861,0.00977561,1.11131559,5.54758323
../data/Gplus/edges.csv,107614,10000,original_decrease,0.08000000,1.00000000,800,0,5296,879102,873806,32950647,32410512,35.65177568,3.68077692,3.26347804,0.50000000,0.50000000,4,5,4,1,1705041044603258258,0.80000000,8,12.00000000,31974112.06378969,976534.93621031,0.02963629,436399.93621031,0.01346477,426.00000000,221.04816893,647.04816893,170,70,70,5.75000000,1.61190914,2.93306042,0.00788351,1.01649957,5.56935715
../data/Gplus/edges.csv,107614,10000,original_decrease,0.08000000,1.00000000,800,0,5296,879102,873806,32950647,32410512,35.65177568,3.68077692,3.26347804,1.00000000,0.50000000,4,5,0,1,13886243051147984436,0.80000000,8,12.00000000,31202977.23472300,1747669.76527700,0.05303901,1207534.76527700,0.03725750,428.00000000,110.52408446,538.52408446,170,70,70,5.75000000,0.91551881,2.85509418,0.02353184,1.51005402,5.30420213
../data/Gplus/edges.csv,107614,10000,original_decrease,0.08000000,1.00000000,800,0,5296,879102,873806,32950647,32410512,35.65177568,3.68077692,3.26347804,1.00000000,0.50000000,4,5,1,1,1430029224877764749,0.80000000,8,12.00000000,34036275.64805154,1085628.64805154,0.03294711,1625763.64805154,0.05016162,422.00000000,110.52408446,532.52408446,170,70,70,5.75000000,0.49305554,2.66691245,0.01546291,1.06511754,4.24055241
../data/Gplus/edges.csv,107614,10000,original_decrease,0.08000000,1.00000000,800,0,5296,879102,873806,32950647,32410512,35.65177568,3.68077692,3.26347804,1.00000000,0.50000000,4,5,2,1,9597252697081238370,0.80000000,8,12.00000000,32700362.00211605,250284.99788395,0.00759575,289850.00211605,0.00894309,426.00000000,110.52408446,536.52408446,170,70,70,5.75000000,1.62430385,1.92961680,0.00577032,1.59818893,5.15788339
../data/Gplus/edges.csv,107614,10000,original_decrease,0.08000000,1.00000000,800,0,5296,879102,873806,32950647,32410512,35.65177568,3.68077692,3.26347804,1.00000000,0.50000000,4,5,3,1,2104722730755119818,0.80000000,8,12.00000000,33969323.20679987,1018676.20679987,0.03091521,1558811.20679987,0.04809585,430.00000000,110.52408446,540.52408446,170,70,70,5.75000000,0.88128427,2.80434314,0.00926075,1.08341845,4.77831059
../data/Gplus/edges.csv,107614,10000,original_decrease,0.08000000,1.00000000,800,0,5296,879102,873806,32950647,32410512,35.65177568,3.68077692,3.26347804,1.00000000,0.50000000,4,5,4,1,13870269351386666240,0.80000000,8,12.00000000,32172142.78367110,778504.21632890,0.02362637,238369.21632890,0.00735469,424.00000000,110.52408446,534.52408446,170,70,70,5.75000000,1.42179261,2.74360063,0.02317794,1.26176983,5.45034525
