edge_file,n_header,n_used,attack_type,malicious_ratio,poison_prob,malicious_nodes,added_edges,removed_edges,clean_m_used,poisoned_m_used,clean_exact_triangles,poisoned_exact_triangles,load_seconds,clean_exact_seconds,poisoned_exact_seconds,epsilon,psi,workers,runs,run,noise,seed,split_factor,bias_factor,dmax_slack_multiplier,estimate,abs_error_vs_clean,relative_error_vs_clean,abs_error_vs_poisoned,relative_error_vs_poisoned,max_noisy_out_degree_before_slack,dmax_slack,max_noisy_out_degree,kcore_rounds_cap,kcore_rounds_run,kcore_max_threshold,levels_per_group,kcore_seconds,rr_seconds,maxout_seconds,count_seconds,total_seconds
../data/IMDB/edges.csv,896308,10000,original_decrease,0.2,1,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,0.50000000,0.50000000,4,5,0,1,15722096187311718082,0.80000000,8,12.00000000,-950667.61966751,958457.61966751,123.03692165,957415.61966751,141.88138999,79.00000000,221.04816893,300.04816893,170,41,41,5.75000000,0.02506443,1.28436560,0.00678121,0.00744473,1.32365966
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,0.50000000,0.50000000,4,5,1,1,4460723817787692818,0.80000000,8,12.00000000,-524988.13430020,532778.13430020,68.39257180,531736.13430020,78.79907147,61.00000000,221.04816893,282.04816893,170,35,35,5.75000000,0.10023713,1.68488802,0.02347817,0.02929780,1.83790614
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,0.50000000,0.50000000,4,5,2,1,16085610682330738317,0.80000000,8,12.00000000,472411.62855464,464621.62855464,59.64334128,465663.62855464,69.00765094,70.00000000,221.04816893,291.04816893,170,47,47,5.75000000,0.30159770,1.82408616,0.02916348,0.02999163,2.18484368
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,0.50000000,0.50000000,4,5,3,1,8150873202967846913,0.80000000,8,12.00000000,250314.14423740,242524.14423740,31.13275279,243566.14423740,36.09456791,67.00000000,221.04816893,288.04816893,170,41,41,5.75000000,1.41741765,1.96513242,0.02300215,0.02298992,3.42880018
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,0.50000000,0.50000000,4,5,4,1,1705041044603258258,0.80000000,8,12.00000000,272651.15817743,264861.15817743,34.00014867,265903.15817743,39.40473595,73.00000000,221.04816893,294.04816893,170,41,41,5.75000000,0.98997212,1.67854537,0.00289021,0.01309740,2.68450901
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,1.00000000,0.50000000,4,5,0,1,13886243051147984436,0.80000000,8,12.00000000,-197924.07406901,205714.07406901,26.40745495,204672.07406901,30.33077565,35.00000000,110.52408446,145.52408446,170,35,35,5.75000000,0.69350231,1.76208283,0.00305485,0.00296599,2.46160970
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,1.00000000,0.50000000,4,5,1,1,1430029224877764749,0.80000000,8,12.00000000,260618.15143918,252828.15143918,32.45547515,253870.15143918,37.62153993,40.00000000,110.52408446,150.52408446,170,35,35,5.75000000,0.02715253,1.39525958,0.00290175,0.00297878,1.42829598
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,1.00000000,0.50000000,4,5,2,1,9597252697081238370,0.80000000,8,12.00000000,72983.49763129,65193.49763129,8.36887004,66235.49763129,9.81557463,35.00000000,110.52408446,145.52408446,170,35,35,5.75000000,0.02185442,1.39069076,0.00280916,0.00299149,1.41834922
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,1.00000000,0.50000000,4,5,3,1,2104722730755119818,0.80000000,8,12.00000000,278814.70156838,271024.70156838,34.79136092,272066.70156838,40.31812412,39.00000000,110.52408446,149.52408446,170,35,35,5.75000000,0.02515039,1.32446435,0.00298328,0.00312993,1.35573147
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,1.00000000,0.50000000,4,5,4,1,13870269351386666240,0.80000000,8,12.00000000,70479.75048519,62689.75048519,8.04746476,63731.75048519,9.44453919,32.00000000,110.52408446,142.52408446,170,35,35,5.75000000,0.02572753,1.37337381,0.00303269,0.00289324,1.40503051
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,2.00000000,0.50000000,4,5,0,1,1036216480254956941,0.80000000,8,12.00000000,-76275.50635562,84065.50635562,10.79146423,83023.50635562,12.30342418,27.00000000,55.26204223,82.26204223,170,35,35,5.75000000,0.02487276,1.40342261,0.00264454,0.00284047,1.43378374
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,2.00000000,0.50000000,4,5,1,1,16609961057015629809,0.80000000,8,12.00000000,-51319.19115315,59109.19115315,7.58782942,58067.19115315,8.60509650,27.00000000,55.26204223,82.26204223,170,35,35,5.75000000,0.02384546,1.42842753,0.00286365,0.00296127,1.45810143
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,2.00000000,0.50000000,4,5,2,1,709555291734929116,0.80000000,8,12.00000000,98429.26417755,90639.26417755,11.63533558,91681.26417755,13.58643512,23.00000000,55.26204223,78.26204223,170,29,29,5.75000000,0.02292686,1.46673262,0.00409186,0.00600657,1.49976222
../data/IMDB/edges.csv,896308,10000,original_decrease,0.20000000,1.00000000,2000,0,312,7569,7257,7790,6748,208.53104796,0.52931842,0.00191992,2.00000000,0.50000000,4,5,3,1,10297942470535431311,0.80000000,8,12.00000000,17502.92449351,9712.92449351,1.24684525,10754.92449351,1.59379438,28.00000000,55.26204223,83.26204223,170,29,29,5.75000000,0.03834528,1.50331445,0.04183509,0.04198333,1.62548234
