edge_file,n_header,n_used,attack_type,malicious_ratio,poison_prob,malicious_nodes,added_edges,removed_edges,clean_m_used,poisoned_m_used,clean_exact_triangles,poisoned_exact_triangles,load_seconds,clean_exact_seconds,poisoned_exact_seconds,epsilon,psi,workers,runs,run,noise,seed,split_factor,bias_factor,dmax_slack_multiplier,estimate,abs_error_vs_clean,relative_error_vs_clean,abs_error_vs_poisoned,relative_error_vs_poisoned,max_noisy_out_degree_before_slack,dmax_slack,max_noisy_out_degree,kcore_rounds_cap,kcore_rounds_run,kcore_max_threshold,levels_per_group,kcore_seconds,rr_seconds,maxout_seconds,count_seconds,total_seconds
../data/IMDB/edges.csv,896308,10000,original_increase,0.05,1,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,0.50000000,0.50000000,4,5,0,1,15722096187311718082,0.80000000,8,12.00000000,17598169.35906510,17590379.35906510,2258.07180476,3118241.64093490,0.15052036,528.00000000,221.04816893,749.04816893,170,58,58,5.75000000,0.09197375,1.01043050,0.00398609,0.26290107,1.36929596
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,0.50000000,0.50000000,4,5,1,1,4460723817787692818,0.80000000,8,12.00000000,18088211.95361915,18080421.95361915,2320.97842794,2628199.04638085,0.12686556,513.00000000,221.04816893,734.04816893,170,58,58,5.75000000,0.09843101,1.10655645,0.00222984,0.23954933,1.44677101
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,0.50000000,0.50000000,4,5,2,1,16085610682330738317,0.80000000,8,12.00000000,21949047.34397161,21941257.34397161,2816.59272708,1232636.34397161,0.05950048,523.00000000,221.04816893,744.04816893,170,58,58,5.75000000,0.07890414,0.99350439,0.00408105,0.25357940,1.33007347
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,0.50000000,0.50000000,4,5,3,1,8150873202967846913,0.80000000,8,12.00000000,20787657.44434073,20779867.44434073,2667.50544857,71246.44434073,0.00343913,526.00000000,221.04816893,747.04816893,170,58,58,5.75000000,0.09911696,1.03168633,0.00427527,0.24663547,1.38171830
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,0.50000000,0.50000000,4,5,4,1,1705041044603258258,0.80000000,8,12.00000000,21450255.89714319,21442465.89714319,2752.56301632,733844.89714319,0.03542336,506.00000000,221.04816893,727.04816893,170,58,58,5.75000000,0.08927972,1.08600572,0.00250791,0.25185111,1.42964845
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,1.00000000,0.50000000,4,5,0,1,13886243051147984436,0.80000000,8,12.00000000,19883775.88585668,19875985.88585668,2551.47443978,832635.11414332,0.04019205,503.00000000,110.52408446,613.52408446,170,58,58,5.75000000,0.10881051,1.13758679,0.00452399,0.23813060,1.48905577
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,1.00000000,0.50000000,4,5,1,1,1430029224877764749,0.80000000,8,12.00000000,21377014.83684070,21369224.83684070,2743.16108303,660603.83684070,0.03188795,502.00000000,110.52408446,612.52408446,170,58,58,5.75000000,0.10327742,1.07866158,0.00220267,0.24654226,1.43068802
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,1.00000000,0.50000000,4,5,2,1,9597252697081238370,0.80000000,8,12.00000000,21337545.24849267,21329755.24849267,2738.09438363,621134.24849267,0.02998272,498.00000000,110.52408446,608.52408446,170,58,58,5.75000000,0.09155399,1.10617766,0.00399185,0.23024012,1.43196754
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,1.00000000,0.50000000,4,5,3,1,2104722730755119818,0.80000000,8,12.00000000,21780397.37933250,21772607.37933250,2794.94318092,1063986.37933250,0.05135959,500.00000000,110.52408446,610.52408446,170,58,58,5.75000000,0.10054145,1.06155727,0.00351066,0.23838786,1.40400139
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,1.00000000,0.50000000,4,5,4,1,13870269351386666240,0.80000000,8,12.00000000,20895252.56027834,20887462.56027834,2681.31740183,178841.56027834,0.00863284,498.00000000,110.52408446,608.52408446,170,58,58,5.75000000,0.07209615,1.11081856,0.00227426,0.23505818,1.42025148
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,2.00000000,0.50000000,4,5,0,1,1036216480254956941,0.80000000,8,12.00000000,20310453.78670948,20302663.78670948,2606.24695593,405957.21329052,0.01959592,501.00000000,55.26204223,556.26204223,170,58,58,5.75000000,0.08669426,1.19378460,0.00355964,0.23245662,1.51649901
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,2.00000000,0.50000000,4,5,1,1,16609961057015629809,0.80000000,8,12.00000000,20492335.79100338,20484545.79100338,2629.59509512,224075.20899662,0.01081631,499.00000000,55.26204223,554.26204223,170,58,58,5.75000000,0.11061731,1.16858249,0.00369199,0.19469351,1.47758896
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,2.00000000,0.50000000,4,5,2,1,709555291734929116,0.80000000,8,12.00000000,20943729.41945976,20935939.41945976,2687.54036193,227318.41945976,0.01097287,504.00000000,55.26204223,559.26204223,170,52,52,5.75000000,0.09740970,1.02490027,0.00181833,0.22361577,1.34774807
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,2.00000000,0.50000000,4,5,3,1,10297942470535431311,0.80000000,8,12.00000000,20994328.00630672,20986538.00630672,2694.03568759,277917.00630672,0.01341531,498.00000000,55.26204223,553.26204223,170,58,58,5.75000000,0.09788241,1.22816960,0.00362046,0.20957958,1.53925618
../data/IMDB/edges.csv,896308,10000,original_increase,0.05000000,1.00000000,500,124722,0,7569,132291,7790,20716411,162.18808938,0.58523232,0.14934900,2.00000000,0.50000000,4,5,4,1,16753912090043931840,0.80000000,8,12.00000000,20391160.56504816,20383370.56504816,2616.60726124,325250.43495184,0.01570013,501.00000000,55.26204223,556.26204223,170,58,58,5.75000000,0.07918200,1.30254868,0.00223543,0.20928943,1.59325984
