edge_file,n_header,n_used,m_used,exact_triangles,load_seconds,exact_seconds,epsilon,psi,workers,runs,run,noise,seed,rr_attack_direction,malicious_ratio,poison_prob,malicious_selector,malicious_nodes,rr_attack_candidates,rr_attack_reports,rr_attack_set_to_one,rr_attack_set_to_zero,count_laplace_noise_scale,estimate,abs_error,relative_error,max_noisy_out_degree,kcore_rounds_cap,kcore_rounds_run,kcore_max_threshold,levels_per_group,kcore_seconds,rr_seconds,maxout_seconds,count_seconds,total_seconds
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,0.50000000,0.50000000,4,5,0,1,501776,none,0.00000000,0.00000000,random,0,0,0,0,0,1584.00000000,67802.00677996,13705.00677996,0.25334135,99.00000000,186,26,26,6.25000000,0.08546042,7.90985609,0.00621919,0.01140570,8.01294820
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,0.50000000,0.50000000,4,5,1,1,1501779,none,0.00000000,0.00000000,random,0,0,0,0,0,1312.00000000,-29449.48882828,83546.48882828,1.54438303,82.00000000,186,32,32,6.25000000,0.08397608,7.85844001,0.00597875,0.01054345,7.95894652
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,0.50000000,0.50000000,4,5,2,1,2501782,none,0.00000000,0.00000000,random,0,0,0,0,0,1392.00000000,31835.60113450,22261.39886550,0.41150894,87.00000000,186,38,38,6.25000000,0.07957811,7.89392952,0.00599536,0.01075605,7.99026443
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,0.50000000,0.50000000,4,5,3,1,3501785,none,0.00000000,0.00000000,random,0,0,0,0,0,1664.00000000,-40159.81087793,94256.81087793,1.74236669,104.00000000,186,51,51,6.25000000,0.07752594,7.95372398,0.00605619,0.01149202,8.04880525
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,0.50000000,0.50000000,4,5,4,1,4501788,none,0.00000000,0.00000000,random,0,0,0,0,0,1312.00000000,-112147.50470862,166244.50470862,3.07308177,82.00000000,186,51,51,6.25000000,0.08411053,7.87960511,0.00620613,0.01147494,7.98140317
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,1.00000000,0.50000000,4,5,0,1,1001776,none,0.00000000,0.00000000,random,0,0,0,0,0,576.00000000,-160833.29574519,214930.29574519,3.97305388,72.00000000,186,32,32,6.25000000,0.08636901,8.12186737,0.00584907,0.01057079,8.22466381
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,1.00000000,0.50000000,4,5,1,1,2001779,none,0.00000000,0.00000000,random,0,0,0,0,0,568.00000000,52440.47168967,1656.52831033,0.03062145,71.00000000,186,38,38,6.25000000,0.07743459,8.07853125,0.00643762,0.01086772,8.17327786
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,1.00000000,0.50000000,4,5,2,1,3001782,none,0.00000000,0.00000000,random,0,0,0,0,0,624.00000000,47004.29125319,7092.70874681,0.13111094,78.00000000,186,38,38,6.25000000,0.08571341,8.08800445,0.00607022,0.01098592,8.19077923
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,1.00000000,0.50000000,4,5,3,1,4001785,none,0.00000000,0.00000000,random,0,0,0,0,0,632.00000000,36723.73805323,17373.26194677,0.32115019,79.00000000,186,44,44,6.25000000,0.08139962,8.14438894,0.00623466,0.01105781,8.24308816
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,1.00000000,0.50000000,4,5,4,1,5001788,none,0.00000000,0.00000000,random,0,0,0,0,0,680.00000000,29616.29788431,24480.70211569,0.45253345,85.00000000,186,38,38,6.25000000,0.08040743,8.13729461,0.00583787,0.01068215,8.23422806
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,2.00000000,0.50000000,4,5,0,1,2001776,none,0.00000000,0.00000000,random,0,0,0,0,0,296.00000000,19844.87979047,34252.12020953,0.63316118,74.00000000,186,44,44,6.25000000,0.08052346,8.55139848,0.00620882,0.01062039,8.64875809
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,2.00000000,0.50000000,4,5,1,1,3001779,none,0.00000000,0.00000000,random,0,0,0,0,0,252.00000000,-50705.29821396,104802.29821396,1.93730333,63.00000000,186,38,38,6.25000000,0.08032316,8.50991647,0.00538967,0.01065024,8.60628504
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,2.00000000,0.50000000,4,5,2,1,4001782,none,0.00000000,0.00000000,random,0,0,0,0,0,316.00000000,106155.02576582,52058.02576582,0.96230892,79.00000000,186,38,38,6.25000000,0.09113088,8.54840196,0.00581730,0.01018108,8.65553612
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,2.00000000,0.50000000,4,5,3,1,5001785,none,0.00000000,0.00000000,random,0,0,0,0,0,228.00000000,40133.49337470,13963.50662530,0.25811980,57.00000000,186,38,38,6.25000000,0.07948964,8.50612368,0.00636602,0.01078678,8.60277067
../data/IMDB/edges.csv,896308,20000,29046,54097,127.90424235,0.00974337,2.00000000,0.50000000,4,5,4,1,6001788,none,0.00000000,0.00000000,random,0,0,0,0,0,256.00000000,100914.14605331,46817.14605331,0.86542962,64.00000000,186,38,38,6.25000000,0.07851026,8.48237974,0.00561106,0.01087584,8.57738252
